exercise	part	section	fen	turn	solutionSan	solutionUci	solutionText	whitePlayer	blackPlayer	event	year	game	bookPage	pdfPage
31	priyome	public-education	r1b1qrk1/ppp1b1pp/2nppn2/3P1p2/2P2B2/2N2NP1/PP2PPBP/2RQK2R b K - 0 1	black	Nd8 Nb5 Qd7	c6d8 c3b5 e8d7	9...Nd8! Black avoids gifting White an open c-file, and prepares to recapture on e6 with the knight. 9...exd5? 10.cxd5± 10.Nb5 is met by 10...Qd7 or even 10...Nxd5!?.	Bogoljubow	Alekhine	Germany (11)	1934	Bogoljubow – Alekhine, Germany (11) 1934	49	49
32	priyome	public-education	r1b2rk1/pp1n1pp1/2p1p2p/q7/2BP3B/b1P1PN2/P2Q1PPP/1R2K2R b K - 0 1	black	e5 Qd3	e6e5 d2d3	13...e5!= The bishop on c8 is no longer a problematic piece, and the potential queen exchange on d2 will suit the player with fewer central pawns. 13...b6 is an attempt to exchange bishops but 14.Qd3!² is a good reply.	Alekhine	Nimzowitsch	Zurich	1934	Alekhine – Nimzowitsch, Zurich 1934	50	50
33	priyome	public-education	rn1qk2r/1ppbbppp/p2p1n2/3Pp3/B3P3/2P2N2/PP3PPP/RNBQ1RK1 w kq - 0 1	white	Bc2	a4c2	9.Bc2! Avoiding simplifications is best, as Black’s light-squared bishop and queenside knight both belong on d7. Black needs the bishop to support future counterplay with ...f5, so ideas involving ...Bg4 and exchanging on f3 are nothing to be afraid of. 9.Bxd7+ Nbxd7=	Alekhine	Johner	Zurich	1934	Alekhine – Johner, Zurich 1934	50	50
34	priyome	public-education	r3r1k1/pp1b1pbp/2p1p1p1/q3B3/3P4/P1PB4/1PQ2PPP/3RR1K1 w - - 0 1	white	h4 Rad8 b4 h5 Bxg7 Kxg7 Re3	h2h4 a8d8 b2b4 h7h5 e5g7 g8g7 e1e3	19.h4! With a few black pieces stuck on the queenside, White has time to open the h-file and go for an attack. A test solver opined that 19.Qc1 Rad8 20.b4 is a good alternative. It’s true that White stands much better here too, but I see no point in delaying the more incisive plan of attacking on the kingside. 19...Qd8 20.h5 Qg5 Black needs to defend against a sacrifice on g6. 21.hxg6 21.Bxg7? Kxg7 makes life easier for Black, who now has the option of bringing a rook to h8 in case the h-file opens up21...hxg6 22.Re3+– White has a decisive attack. Jose Raul Capablanca “People who want to improve should take their defeats as lessons, and endeavour to learn what to avoid in the future. You must also have the courage of your convictions. If you think your move is good, make it.”	Lasker	Capablanca	Moscow	1935	Lasker – Capablanca, Moscow 1935	51	51
35	priyome	public-education	r1b2rk1/ppq1b2p/2p1ppp1/8/2NP1P2/2PBP3/P1R3PP/3Q1RK1 w - - 0 1	white	h4	h2h4	18.h4!ƒ Pinpointing the weakened g6-pawn. 18.e4= was played in the game.	Lasker	Bogoljubow	Nottingham	1936	Lasker – Bogoljubow, Nottingham 1936	52	52
36	priyome	public-education	1r1q1rk1/pbpn2pp/1p1pp3/5p2/2PPn3/1P2QNP1/PB2PPBP/3R1RK1 w - - 0 1	white	d5 exd5 Nh4 Ndf6 Bh3	d4d5 e6d5 f3h4 d7f6 g2h3	13.d5! Undermining the f-pawn. 13...exd5 13...e5 is the move Black would like to play, but 14.Nh4! wins at least a pawn. 14.cxd5 Ndf6 15.Nh4 Qd7 16.Bh3!+– Black is losing, due to the weakness of the f5-pawn along with the additional threat of f2-f3.	Alekhine	Alexander	Nottingham	1936	Alekhine – Alexander, Nottingham 1936	52	52
37	priyome	public-education	r1bq1rk1/pp2npbp/2pp2p1/4p3/2Pn4/2NP1NP1/PP1BPPBP/2RQ1RK1 w - - 0 1	white	b4 f5 Ng5 h6 Nh3 g5	b2b4 f7f5 f3g5 h7h6 g5h3 g6g5	10.b4 Starting White’s main plan: to soften up the long light-squared diagonal. (Even though the rook would be better on b1 than c1.) 10.Nxd4? exd4 11.Ne4 f5 12.Ng5 h6 13.Nh3 g5³ only helps Black to advance.	Lasker	Alexander	Nottingham	1936	Lasker – Alexander, Nottingham 1936	53	53
38	priyome	public-education	rn1q1rk1/pbppbppp/1p2p3/8/2PPn3/2N2NP1/PP1BPPBP/R2Q1RK1 w - - 0 1	white	d5 Nxd2 Qxd2	d4d5 e4d2 d1d2	Nowadays this is known as a common theoretical position which arises with Black to move. 9.d5! Obstructing the b7-bishop and fighting for the e4-square. 9.Be1?! saves the bishop, but is slow. 9...Nxd2 9...exd5 gives White a choice between recapturing on d5 with the knight or the pawn, both with a clear advantage. 10.Qxd2± White’s central control and nullifying of the b7-bishop are more important than Black’s bishop pair. Max Euwe “Alekhine is a poet who creates a work of art out of something that would hardly inspire another man to send home a picture post card.”	Euwe	Alekhine	Netherlands (21)	1937	Euwe – Alekhine, Netherlands (21) 1937	53	53
39	priyome	public-education	r1b1k2r/pb1nbppp/1qn1p3/3pP3/3P4/P2B1N2/1P2NPPP/R1BQ1K1R b kq - 0 1	black	f6 b4 Na5 h4 Nb3 Rb1 O-O Qc2 h6 Nf4 Nxe5 Nxe6 Nf7 Bf4 Ne5 Nxe5	f7f6 b2b4 c6a5 h2h4 a5b3 a1b1 e8g8 d1c2 h7h6 e2f4 d7e5 f4e6 e5f7 c1f4 f7e5 f3e5	11...f6! Immediately challenging for the centre. 11...Nf8? 12.b4+– was the game. 11...Na5?! 12.h4 Nb3 13.Rb1±; 11...0-0?! 12.Qc2 h6 13.h4‚ 12.Nf4 12.exf6 Nxf6³ White needs more than a square on e5 to compensate for the king on f1. 12...Ndxe5! 12...fxe5?! only leads to unclear complications. 13.Nxe6 (13.dxe5 Ndxe5 14.Nxe5 Nxe5 15.Qh5+ Nf7÷) Capturing the e6-pawn tends to be the critical try in this structure, but Black has many possible continuations, 13...e4 14.Bf4 Kf7÷ being one example. 13.dxe5 fxe5 14.Nh5?! Safest is giving back the piece: 14.Nxe5 Nxe5³ 14...0-0 15.Be3 Necessary to defend f2. 15...Qxb2 16.Be2 e4µ Black has three pawns for the piece, plus an ongoing initiative.	Alekhine	Capablanca	Netherlands	1938	Alekhine – Capablanca, Netherlands 1938	54	54
40	priyome	public-education	r3r1k1/2q1bppp/p3bn2/npp1p3/4P3/2P1NN2/PPB1QPPP/R1B1R1K1 w - - 0 1	white	Ng5 h6 Nd5 Bxd5 exd5 e4 Bxe4 Bf8 Qc2 Nxe4 Rxe4 Qd7 c4 hxg5	f3g5 h7h6 e3d5 e6d5 e4d5 e5e4 c2e4 e7f8 e2c2 f6e4 e1e4 c7d7 c3c4 h6g5	16.Ng5! Black needed the pawn on h6 to ensure the safety of the bishop on e6. 16.Nd5 opens up for the bishop on c2, but also for Black’s rook against White’s queen. 16...Bxd5 17.exd5 e4! 18.Bxe4 Bf8 19.Qc2 Nxe4 20.Rxe4 Qd7= Black wins back the pawn. 16...Bd7 The game move 16...c4 is not challenging; White simply captures the bishop. 16...Bc4?! is unsatisfactory: 17.Qf3 h6 18.b3 hxg5 19.bxc4± Black suffers from a weakened kingside. 17.Nd5²	Alekhine	Flohr	Netherlands	1938	Alekhine – Flohr, Netherlands 1938	55	55
